Path	URL	Permissions
KEUANGAN / Manajemen Aset / Daftar Aset Tetap	asset-management/fixed-assets	view,create,update,delete
KEUANGAN / Manajemen Aset / Penyusutan Aset Tetap	asset-management/depreciation-fixed-assets	view,create,update,delete
KEUANGAN / Manajemen Aset / Pelepasan Aset Tetap	asset-management/disposal-fixed-assets	view,create,update,delete
KEUANGAN / Manajemen Aset / Laporan Aset Tetap	asset-management/report-assets	view,create,update,delete
KEUANGAN / Laporan Keuangan		view,create,update,delete
KEUANGAN / Laporan Keuangan / Laporan Jurnal	laporan-keuangan/accounting-jurnal	view,create,update,delete
KEUANGAN / Laporan Keuangan / Laporan Neraca	laporan-keuangan/accounting-neraca	view,create,update,delete
KEUANGAN / Laporan Keuangan / Laporan Laba Rugi	laporan-keuangan/accounting-rugi-laba	view,create,update,delete
KEUANGAN / Laporan Keuangan / Laporan Buku Besar	laporan-keuangan/accounting-buku-besar	view,create,update,delete
KEUANGAN / Laporan Keuangan / Laporan Arus Kas	laporan-keuangan/accounting-arus-kas	view,create,update,delete
KEUANGAN / Laporan Keuangan / Laporan Hutang	laporan-keuangan/accounting-hutang	view,create,update,delete
KEUANGAN / Laporan Keuangan / Laporan Piutang	laporan-keuangan/accounting-piutang	view,create,update,delete
KEUANGAN / Daftar Akun		view,create,update,delete
KEUANGAN / Daftar Akun / Daftar Akun 	akunting/account-list	view,create,update,delete
KEUANGAN / Daftar Akun / Jurnal Umum	jurnal-umum-penyesuaian	view,create,update,delete
KEUANGAN / Daftar Akun / Saldo Awal	saldo-awal	view,create,update,delete
PENGATURAN		view,create,update,delete
PENGATURAN / Menu Favorit		
PENGATURAN / Pesan Masuk		view,create,update,delete
PENGATURAN / Pesan Masuk / Daftar Pesan	message/inbox	view,create,update,delete
PENGATURAN / Notifikasi		view,create,update,delete
PENGATURAN / Notifikasi / Pengaturan WhatsApp	message-setting/setting-whatsapp	view,create,update,delete
PENGATURAN / Notifikasi / Daftar Notifikasi	message-setting/inbox	view,create,update,delete
PENGATURAN / Notifikasi / Pengaturan Notifikasi	pengaturan-bisnis/notification/dashboard	view,create,update,delete
PENGATURAN / Notifikasi / Transaksi Dihapus	message-setting/deleted-transaction	view,create,update,delete
PENGATURAN / Akun Profile		view,create,update,delete
PENGATURAN / Akun Profile / Informasi Akun	user-profile/account	view,create,update,delete
PENGATURAN / Akun Profile / Informasi Bisnis	user-profile/business	view,create,update,delete
PENGATURAN / Akun Profile / Informasi Rekening	user-profile/bank-account	view,create,update,delete
PENGATURAN / Langganan		view,create,update,delete
PENGATURAN / Langganan / Langganan & Support	support/buy	view,create,update,delete
PENGATURAN / Langganan / Tiket Support	support/ticket	view,create,update,delete
PENGATURAN / Langganan / Klaim Voucher	support/claim-voucher	view,create,update,delete
PENGATURAN / Outlet		view,create,update,delete
PENGATURAN / Outlet / Daftar Outlet	pengaturan-bisnis/cabang	view,create,update,delete
PENGATURAN / Outlet / Denah dan Meja	pengaturan-bisnis/floorplan-and-table	view,create,update,delete
PENGATURAN / Produk dan Inventori	stock-notif-setting	view,create,update,delete
PENGATURAN / Reservasi	reservation-setting	view,create,update,delete
PENGATURAN / Pembayaran		view,create,update,delete
PENGATURAN / Pembayaran / Struk	payment-setting/receipt	view,create,update,delete
PENGATURAN / Pembayaran / Biaya	payment-setting/receipt-and-charge	view,create,update,delete
PENGATURAN / Pembayaran / Pajak	payment-setting/tax-setting	view,create,update,delete
PENGATURAN / Pembayaran / Pembayaran Non-Tunai	payment-setting/non-cash	view,create,update,delete
PENGATURAN / Pembayaran / Satuan Barang	satuan-barang	view,create,update,delete
PENGATURAN / Cetak		view,create,update,delete
PENGATURAN / Cetak / PDF	print-setting/pdf	view,create,update,delete
PENGATURAN / Kasir		view,create,update,delete
PENGATURAN / Kasir / Daftar Kasir	kasir	view,create,update,delete
PENGATURAN / Kasir / Kategori Kas Kasir	kategori-kasir	view,create,update,delete
PENGATURAN / Terminal		view,create,update,delete
PENGATURAN / Terminal / Daftar Perangkat	terminal-setting/device	view,create,update,delete
PENGATURAN / Terminal / Perangkat Pay Go	terminal-setting/soundbox	view,create,update,delete
PENGATURAN / Akses Support		view,create,update,delete
PENGATURAN / Akses Support / Daftar Akses Support	pengaturan-bisnis/support-access	view,create,update,delete
PENGATURAN / Daftar Ekspor	import-export-list	view,create,update,delete
Bantuan		view,create,update,delete
Bantuan / Menu Favorit		
Bantuan / Panduan Penggunaan		view,create,update,delete
Bantuan / Panduan Penggunaan / Panduan Penggunaan	guideline/online	view,create,update,delete
Bantuan / Panduan Penggunaan / Masukan Perbaikan	support/feedback	view,create,update,delete
LAYANAN		view,create,update,delete
LAYANAN / Menu Favorit		
LAYANAN / Majoopay		view,create,update,delete
LAYANAN / Majoopay / QRIS majoo	pembayaran-digital/pengajuan-wallet	view,create,update,delete
LAYANAN / Majoopay / Pengajuan EDC	pembayaran-digital/pengajuan-edc	view,create,update,delete
LAYANAN / Integrasi Satu Sehat		view,create,update,delete
LAYANAN / Integrasi Satu Sehat / Pengaturan Satu Sehat	satu-sehat/setting	view,create,update,delete
LAYANAN / Aura - AI Asisten Manajer	wa-assistance-manager	view,create,update,delete
INSPIRASI		view,create,update,delete
INSPIRASI / Menu Favorit		
INSPIRASI / Informasi Update	informasi-update	view,create,update,delete
INSPIRASI / Inspirasi Wirausaha		view,create,update,delete
INSPIRASI / Inspirasi Wirausaha / majoo blog		view,create,update,delete
INSPIRASI / Inspirasi Wirausaha / majoo blog / Home majoo blog	blog	view,create,update,delete
INSPIRASI / Inspirasi Wirausaha / majoo blog / majoo berbagi	blog/inspirasi/category/majoo-berbagi	view,create,update,delete
INSPIRASI / Inspirasi Wirausaha / majoo blog / Tren Bisnis	blog/inspirasi/category/tren-bisnis	view,create,update,delete
INSPIRASI / Inspirasi Wirausaha / majoo blog / Trivia	blog/inspirasi/category/trivia	view,create,update,delete
INSPIRASI / Inspirasi Wirausaha / majoo blog / Kisah Sukses	blog/inspirasi/category/kisahsukses	view,create,update,delete
INSPIRASI / Inspirasi Wirausaha / majoo blog / Tips	blog/inspirasi/category/tips	view,create,update,delete
INSPIRASI / Inspirasi Wirausaha / majoo blog / Inspirasi	blog/inspirasi/category/inspirasi	view,create,update,delete
INSPIRASI / Inspirasi Wirausaha / majoo blog / Edukasi	blog/inspirasi/category/edukasi	view,create,update,delete
INSPIRASI / Event		view,create,update,delete
INSPIRASI / Event / Majoo Event	majoo-preneur/event	view,create,update,delete
INSPIRASI / Majoo Preneur		view,create,update,delete
INSPIRASI / Majoo Preneur / Majalah Bulanan	majoo-preneur/magazine	view,create,update,delete
Capital		view,create,update,delete
Capital / Menu Favorit		
Capital / Majoo Capital		view,create,update,delete
Capital / Majoo Capital / Pengajuan majoo Capital	layanan-pengembangan/kredit-usaha	view,create,update,delete
SUPPLIES		view,create,update,delete
SUPPLIES / Menu Favorit		
SUPPLIES / Supplies		view,create,update,delete
SUPPLIES / Supplies / Supplies	shopping/order	view,create,update,delete
SUPPLIES / Supplies / Daftar Belanja	shopping/transaction	view,create,update,delete
